ecmf prod rt 2021020100 51 046
0024 em 00 -0.135 1.725 1.730 7
0024 cf 00 -0.182 1.725 1.734 7
0024 pf 01 -0.159 1.606 1.614 7
0024 pf 02 -0.155 1.654 1.662 7
0024 pf 03 -0.118 1.549 1.553 7
0024 pf 04 -0.099 1.777 1.779 7
0024 pf 05 -0.089 1.672 1.674 7
0024 pf 06 -0.152 1.719 1.725 7
0024 pf 07 -0.139 1.680 1.686 7
0024 pf 08 -0.218 1.756 1.770 7
0024 pf 09 -0.151 1.735 1.742 7
0024 pf 10 -0.028 1.868 1.868 7
0024 pf 11 -0.155 1.373 1.381 7
0024 pf 12 -0.196 1.769 1.780 7
0024 pf 13 -0.163 1.770 1.777 7
0024 pf 14 -0.214 1.744 1.757 7
0024 pf 15 -0.118 1.803 1.807 7
0024 pf 16 -0.148 1.725 1.731 7
0024 pf 17 -0.093 1.637 1.640 7
0024 pf 18 -0.191 1.813 1.823 7
0024 pf 19 -0.105 1.721 1.724 7
0024 pf 20 -0.030 1.690 1.691 7
0024 pf 21 -0.072 1.846 1.847 7
0024 pf 22 -0.091 1.794 1.796 7
0024 pf 23 -0.162 1.680 1.688 7
0024 pf 24 -0.120 1.747 1.751 7
0024 pf 25 -0.139 1.708 1.714 7
0024 pf 26 -0.290 1.674 1.699 7
0024 pf 27 -0.158 1.682 1.689 7
0024 pf 28 -0.062 1.780 1.781 7
0024 pf 29 -0.037 1.734 1.735 7
0024 pf 30 -0.171 1.661 1.670 7
0024 pf 31 -0.195 1.643 1.655 7
0024 pf 32 -0.168 1.750 1.758 7
0024 pf 33 -0.220 1.644 1.659 7
0024 pf 34 -0.166 1.660 1.668 7
0024 pf 35 -0.236 1.770 1.786 7
0024 pf 36 -0.192 1.710 1.721 7
0024 pf 37 -0.218 1.616 1.631 7
0024 pf 38 -0.131 1.688 1.693 7
0024 pf 39 -0.018 1.721 1.721 7
0024 pf 40 -0.010 1.612 1.612 7
0024 pf 41 -0.155 1.787 1.793 7
0024 pf 42 0.006 1.686 1.686 6
0024 pf 43 -0.091 1.748 1.750 7
0024 pf 44 -0.178 1.784 1.793 7
0024 pf 45 -0.115 1.760 1.764 7
0024 pf 46 -0.102 1.766 1.769 7
0024 pf 47 -0.212 1.652 1.665 7
0024 pf 48 -0.131 1.638 1.644 7
0024 pf 49 -0.179 1.675 1.685 7
0024 pf 50 -0.096 1.871 1.873 7
0048 em 00 -0.238 1.447 1.466 7
0048 cf 00 -0.267 1.402 1.427 7
0048 pf 01 -0.264 1.315 1.341 7
0048 pf 02 -0.195 1.551 1.563 7
0048 pf 03 -0.167 1.195 1.207 7
0048 pf 04 -0.242 1.405 1.426 7
0048 pf 05 -0.306 1.367 1.400 7
0048 pf 06 -0.204 1.411 1.425 7
0048 pf 07 -0.208 1.417 1.432 7
0048 pf 08 -0.371 1.317 1.369 7
0048 pf 09 -0.214 1.285 1.302 7
0048 pf 10 -0.211 1.462 1.477 7
0048 pf 11 -0.104 1.026 1.032 7
0048 pf 12 -0.390 1.473 1.523 7
0048 pf 13 -0.274 1.342 1.370 7
0048 pf 14 -0.408 1.434 1.491 7
0048 pf 15 -0.441 1.682 1.739 7
0048 pf 16 -0.370 1.582 1.625 7
0048 pf 17 -0.248 1.428 1.450 7
0048 pf 18 -0.303 1.472 1.503 7
0048 pf 19 -0.275 1.471 1.496 7
0048 pf 20 -0.100 1.601 1.604 7
0048 pf 21 -0.328 1.475 1.511 7
0048 pf 22 -0.178 1.628 1.638 7
0048 pf 23 -0.409 1.500 1.555 7
0048 pf 24 -0.110 1.481 1.485 7
0048 pf 25 -0.194 1.367 1.380 7
0048 pf 26 -0.254 1.292 1.317 7
0048 pf 27 -0.210 1.498 1.513 7
0048 pf 28 -0.103 1.563 1.566 7
0048 pf 29 -0.281 1.463 1.490 7
0048 pf 30 -0.264 1.122 1.152 7
0048 pf 31 -0.300 1.392 1.424 7
0048 pf 32 -0.152 1.482 1.490 7
0048 pf 33 -0.293 1.268 1.302 7
0048 pf 34 -0.204 1.288 1.303 7
0048 pf 35 -0.454 1.497 1.565 7
0048 pf 36 -0.167 1.299 1.310 7
0048 pf 37 -0.208 1.452 1.467 7
0048 pf 38 -0.210 1.364 1.380 7
0048 pf 39 -0.049 1.401 1.401 7
0048 pf 40 -0.009 1.418 1.418 7
0048 pf 41 -0.302 1.488 1.519 7
0048 pf 42 -0.099 1.528 1.532 7
0048 pf 43 -0.122 1.606 1.611 7
0048 pf 44 -0.328 1.753 1.783 7
0048 pf 45 -0.162 1.530 1.539 7
0048 pf 46 -0.314 1.595 1.626 7
0048 pf 47 -0.444 1.454 1.521 7
0048 pf 48 -0.150 1.420 1.428 7
0048 pf 49 -0.241 1.287 1.309 7
0048 pf 50 -0.223 1.570 1.585 7
0072 em 00 -0.306 1.040 1.085 7
0072 cf 00 -0.299 0.966 1.011 7
0072 pf 01 -0.233 0.738 0.774 7
0072 pf 02 -0.179 1.391 1.402 7
0072 pf 03 -0.290 0.766 0.820 7
0072 pf 04 -0.351 0.842 0.912 7
0072 pf 05 -0.471 1.024 1.127 7
0072 pf 06 -0.352 0.778 0.854 7
0072 pf 07 -0.414 1.010 1.092 7
0072 pf 08 -0.478 1.038 1.143 7
0072 pf 09 -0.198 0.959 0.980 7
0072 pf 10 -0.352 0.883 0.951 7
0072 pf 11 -0.271 0.764 0.811 7
0072 pf 12 -0.525 1.046 1.170 7
0072 pf 13 -0.283 0.877 0.921 7
0072 pf 14 -0.281 1.195 1.227 7
0072 pf 15 -0.485 1.326 1.412 7
0072 pf 16 -0.577 0.948 1.110 7
0072 pf 17 -0.243 1.135 1.161 7
0072 pf 18 -0.486 1.130 1.231 7
0072 pf 19 -0.176 1.012 1.027 7
0072 pf 20 -0.121 1.071 1.078 7
0072 pf 21 -0.442 1.037 1.127 7
0072 pf 22 -0.270 1.108 1.141 7
0072 pf 23 -0.623 1.039 1.212 7
0072 pf 24 -0.237 1.237 1.259 7
0072 pf 25 -0.274 0.907 0.948 7
0072 pf 26 -0.260 0.815 0.855 7
0072 pf 27 -0.257 1.279 1.305 7
0072 pf 28 -0.218 1.248 1.266 7
0072 pf 29 -0.460 1.123 1.214 7
0072 pf 30 -0.248 0.845 0.881 7
0072 pf 31 -0.457 1.072 1.165 7
0072 pf 32 -0.184 1.152 1.167 7
0072 pf 33 -0.413 0.722 0.832 7
0072 pf 34 -0.284 0.902 0.946 7
0072 pf 35 -0.339 1.014 1.070 7
0072 pf 36 -0.210 0.969 0.991 7
0072 pf 37 -0.333 1.116 1.164 7
0072 pf 38 -0.013 0.899 0.899 7
0072 pf 39 -0.144 0.781 0.795 7
0072 pf 40 -0.082 1.192 1.195 7
0072 pf 41 -0.316 1.119 1.163 7
0072 pf 42 -0.098 0.954 0.959 7
0072 pf 43 -0.221 1.379 1.397 7
0072 pf 44 -0.389 1.168 1.231 7
0072 pf 45 -0.171 1.234 1.246 7
0072 pf 46 -0.540 1.401 1.501 7
0072 pf 47 -0.549 1.190 1.311 7
0072 pf 48 -0.241 0.938 0.968 7
0072 pf 49 -0.295 0.704 0.763 7
0072 pf 50 -0.062 1.120 1.122 7
0096 em 00 -0.422 1.010 1.095 7
0096 cf 00 -0.386 0.961 1.035 7
0096 pf 01 -0.271 0.789 0.834 7
0096 pf 02 -0.380 1.404 1.454 7
0096 pf 03 -0.413 0.649 0.769 7
0096 pf 04 -0.667 0.692 0.961 7
0096 pf 05 -0.725 0.855 1.121 7
0096 pf 06 -0.461 0.841 0.960 7
0096 pf 07 -0.741 0.981 1.230 7
0096 pf 08 -0.703 0.863 1.113 7
0096 pf 09 -0.150 1.225 1.234 7
0096 pf 10 -0.604 0.767 0.976 7
0096 pf 11 -0.359 0.663 0.754 7
0096 pf 12 -0.754 1.064 1.304 7
0096 pf 13 -0.338 0.876 0.939 7
0096 pf 14 -0.483 1.419 1.499 7
0096 pf 15 -0.577 1.168 1.303 7
0096 pf 16 -0.570 0.940 1.100 7
0096 pf 17 -0.565 1.142 1.274 7
0096 pf 18 -0.725 0.993 1.230 7
0096 pf 19 -0.266 0.982 1.017 7
0096 pf 20 -0.009 1.169 1.170 7
0096 pf 21 -0.489 1.138 1.238 7
0096 pf 22 -0.462 0.901 1.013 7
0096 pf 23 -1.025 0.953 1.400 8
0096 pf 24 -0.273 1.284 1.312 7
0096 pf 25 -0.199 0.853 0.876 7
0096 pf 26 -0.424 0.622 0.753 7
0096 pf 27 -0.175 1.218 1.231 7
0096 pf 28 -0.400 1.262 1.324 7
0096 pf 29 -0.661 0.958 1.164 7
0096 pf 30 -0.288 0.719 0.774 7
0096 pf 31 -0.402 1.002 1.079 7
0096 pf 32 -0.096 1.346 1.349 7
0096 pf 33 -0.508 0.660 0.833 7
0096 pf 34 -0.542 0.854 1.011 7
0096 pf 35 -0.421 1.097 1.175 7
0096 pf 36 -0.218 1.056 1.078 7
0096 pf 37 -0.460 0.964 1.068 7
0096 pf 38 -0.111 0.710 0.719 7
0096 pf 39 -0.288 0.765 0.817 7
0096 pf 40 -0.251 1.430 1.452 7
0096 pf 41 -0.430 1.169 1.246 7
0096 pf 42 0.016 0.896 0.896 6
0096 pf 43 -0.516 1.184 1.291 7
0096 pf 44 -0.446 1.096 1.183 7
0096 pf 45 -0.233 1.318 1.338 7
0096 pf 46 -0.784 1.576 1.760 7
0096 pf 47 -0.539 1.079 1.206 7
0096 pf 48 -0.349 0.880 0.946 7
0096 pf 49 -0.450 0.562 0.720 7
0096 pf 50 0.130 0.959 0.968 6
0120 em 00 -0.359 1.154 1.209 7
0120 cf 00 -0.376 1.043 1.109 7
0120 pf 01 -0.244 0.984 1.013 7
0120 pf 02 -0.567 1.607 1.704 7
0120 pf 03 -0.262 0.732 0.777 7
0120 pf 04 -0.740 0.613 0.961 8
0120 pf 05 -0.654 0.830 1.056 7
0120 pf 06 -0.394 1.048 1.120 7
0120 pf 07 -0.839 1.144 1.418 7
0120 pf 08 -0.905 0.818 1.220 8
0120 pf 09 -0.376 1.532 1.577 7
0120 pf 10 -0.544 0.924 1.072 7
0120 pf 11 -0.169 0.663 0.684 7
0120 pf 12 -0.654 1.161 1.333 7
0120 pf 13 -0.479 0.980 1.091 7
0120 pf 14 -0.257 1.687 1.707 7
0120 pf 15 -0.536 1.413 1.511 7
0120 pf 16 -0.301 1.018 1.062 7
0120 pf 17 -0.680 1.388 1.546 7
0120 pf 18 -0.409 0.974 1.056 7
0120 pf 19 -0.175 1.314 1.326 7
0120 pf 20 0.156 1.346 1.355 6
0120 pf 21 -0.544 1.230 1.345 7
0120 pf 22 -0.471 0.995 1.101 7
0120 pf 23 -1.051 0.900 1.384 8
0120 pf 24 -0.255 1.396 1.419 7
0120 pf 25 0.028 0.924 0.924 6
0120 pf 26 -0.432 0.494 0.656 7
0120 pf 27 0.072 1.285 1.288 6
0120 pf 28 -0.560 1.542 1.640 7
0120 pf 29 -0.451 1.174 1.257 7
0120 pf 30 -0.192 0.853 0.874 7
0120 pf 31 -0.303 1.341 1.375 7
0120 pf 32 -0.264 1.479 1.502 7
0120 pf 33 -0.418 0.948 1.036 7
0120 pf 34 -0.248 1.120 1.147 7
0120 pf 35 -0.404 1.153 1.222 7
0120 pf 36 -0.228 1.334 1.353 7
0120 pf 37 -0.438 1.199 1.277 7
0120 pf 38 -0.057 0.820 0.822 7
0120 pf 39 -0.222 0.707 0.741 7
0120 pf 40 -0.192 1.456 1.468 7
0120 pf 41 -0.262 1.307 1.333 7
0120 pf 42 0.317 1.130 1.174 6
0120 pf 43 -0.536 1.365 1.466 7
0120 pf 44 -0.222 1.407 1.424 7
0120 pf 45 -0.291 1.538 1.565 7
0120 pf 46 -0.572 1.982 2.063 7
0120 pf 47 -0.333 1.135 1.183 7
0120 pf 48 -0.210 0.880 0.905 7
0120 pf 49 -0.300 0.778 0.833 7
0120 pf 50 0.115 1.211 1.216 6
0144 em 00 -0.276 1.094 1.128 7
0144 cf 00 -0.358 0.895 0.964 7
0144 pf 01 -0.170 1.161 1.173 7
0144 pf 02 -0.719 1.352 1.531 7
0144 pf 03 -0.012 0.565 0.565 7
0144 pf 04 -0.658 0.596 0.888 8
0144 pf 05 -0.237 0.605 0.649 7
0144 pf 06 -0.331 1.063 1.114 7
