ecmf prod rt 2017120400 51 046
0024 em 00 1.579 1.129 1.941 5
0024 cf 00 1.487 1.170 1.892 5
0024 pf 01 1.675 1.060 1.982 5
0024 pf 02 1.464 1.114 1.839 5
0024 pf 03 1.494 1.068 1.837 5
0024 pf 04 1.429 1.054 1.775 5
0024 pf 05 1.586 0.983 1.866 5
0024 pf 06 1.439 1.141 1.837 5
0024 pf 07 1.617 1.091 1.950 5
0024 pf 08 1.488 1.169 1.893 5
0024 pf 09 1.563 1.152 1.942 5
0024 pf 10 1.469 1.109 1.841 5
0024 pf 11 1.619 0.984 1.894 5
0024 pf 12 1.518 1.134 1.895 5
0024 pf 13 1.669 1.220 2.067 5
0024 pf 14 1.561 0.948 1.826 5
0024 pf 15 1.622 1.120 1.971 5
0024 pf 16 1.471 1.104 1.840 5
0024 pf 17 1.515 1.078 1.859 5
0024 pf 18 1.711 1.065 2.016 5
0024 pf 19 1.692 1.242 2.099 5
0024 pf 20 1.521 1.170 1.919 5
0024 pf 21 1.509 1.100 1.867 5
0024 pf 22 1.543 1.232 1.975 5
0024 pf 23 1.530 1.074 1.870 5
0024 pf 24 1.524 1.182 1.929 5
0024 pf 25 1.408 1.176 1.835 5
0024 pf 26 1.577 1.109 1.928 5
0024 pf 27 1.560 1.060 1.886 5
0024 pf 28 1.640 1.032 1.937 5
0024 pf 29 1.504 1.143 1.890 5
0024 pf 30 1.716 0.977 1.974 5
0024 pf 31 1.574 1.087 1.913 5
0024 pf 32 1.720 1.080 2.031 5
0024 pf 33 1.502 1.228 1.940 5
0024 pf 34 1.678 1.277 2.109 5
0024 pf 35 1.576 1.159 1.956 5
0024 pf 36 1.716 1.143 2.062 5
0024 pf 37 1.631 1.193 2.021 5
0024 pf 38 1.493 1.317 1.991 5
0024 pf 39 1.644 1.109 1.983 5
0024 pf 40 1.565 1.023 1.870 5
0024 pf 41 1.358 1.073 1.730 5
0024 pf 42 1.489 1.140 1.875 5
0024 pf 43 1.555 1.203 1.966 5
0024 pf 44 1.395 1.077 1.762 5
0024 pf 45 1.523 1.097 1.877 5
0024 pf 46 1.621 1.176 2.003 5
0024 pf 47 1.625 1.108 1.966 5
0024 pf 48 1.531 1.193 1.941 5
0024 pf 49 1.599 1.178 1.986 5
0024 pf 50 1.613 1.112 1.960 5
0048 em 00 1.318 1.059 1.691 5
0048 cf 00 1.208 1.029 1.587 5
0048 pf 01 1.480 0.978 1.773 5
0048 pf 02 1.084 1.007 1.480 5
0048 pf 03 1.235 1.073 1.636 5
0048 pf 04 1.045 0.934 1.402 5
0048 pf 05 1.451 1.082 1.810 5
0048 pf 06 1.034 1.034 1.462 6
0048 pf 07 1.424 1.055 1.773 5
0048 pf 08 1.308 1.059 1.683 5
0048 pf 09 1.334 1.299 1.862 5
0048 pf 10 1.111 0.854 1.401 5
0048 pf 11 1.366 0.970 1.676 5
0048 pf 12 1.250 1.209 1.739 5
0048 pf 13 1.494 1.161 1.892 5
0048 pf 14 1.435 0.926 1.708 5
0048 pf 15 1.242 1.012 1.602 5
0048 pf 16 1.225 1.075 1.630 5
0048 pf 17 1.401 0.974 1.706 5
0048 pf 18 1.350 0.974 1.665 5
0048 pf 19 1.502 1.071 1.845 5
0048 pf 20 1.160 0.983 1.521 5
0048 pf 21 1.213 1.132 1.659 5
0048 pf 22 1.361 1.291 1.876 5
0048 pf 23 1.362 0.892 1.628 5
0048 pf 24 1.232 0.876 1.511 5
0048 pf 25 1.130 1.011 1.517 5
0048 pf 26 1.144 1.069 1.566 5
0048 pf 27 1.335 1.053 1.700 5
0048 pf 28 1.483 1.078 1.833 5
0048 pf 29 1.442 1.056 1.787 5
0048 pf 30 1.386 0.946 1.678 5
0048 pf 31 1.216 1.101 1.640 5
0048 pf 32 1.411 1.129 1.807 5
0048 pf 33 1.343 1.159 1.774 5
0048 pf 34 1.202 1.190 1.691 5
0048 pf 35 1.339 1.082 1.722 5
0048 pf 36 1.511 1.203 1.931 5
