ecmf prod rt 2020012700 51 046
0024 em 00 0.404 0.933 1.017 6
0024 cf 00 0.351 0.878 0.946 6
0024 pf 01 0.398 0.895 0.980 6
0024 pf 02 0.477 0.847 0.972 6
0024 pf 03 0.464 1.001 1.103 6
0024 pf 04 0.401 1.032 1.107 6
0024 pf 05 0.404 0.959 1.040 6
0024 pf 06 0.320 1.030 1.079 6
0024 pf 07 0.401 0.927 1.010 6
0024 pf 08 0.377 0.837 0.918 6
0024 pf 09 0.370 0.883 0.958 6
0024 pf 10 0.518 0.974 1.103 6
0024 pf 11 0.542 0.882 1.035 6
0024 pf 12 0.464 0.921 1.031 6
0024 pf 13 0.412 0.928 1.015 6
0024 pf 14 0.429 0.881 0.980 6
0024 pf 15 0.186 0.817 0.838 6
0024 pf 16 0.292 0.906 0.952 6
0024 pf 17 0.429 0.960 1.051 6
0024 pf 18 0.401 1.039 1.114 6
0024 pf 19 0.402 0.888 0.975 6
0024 pf 20 0.325 0.976 1.029 6
0024 pf 21 0.354 0.814 0.887 6
0024 pf 22 0.429 0.912 1.008 6
0024 pf 23 0.302 0.927 0.975 6
0024 pf 24 0.374 0.894 0.970 6
0024 pf 25 0.299 0.938 0.984 6
0024 pf 26 0.465 0.856 0.974 6
0024 pf 27 0.377 0.868 0.946 6
0024 pf 28 0.361 0.972 1.037 6
0024 pf 29 0.391 0.966 1.042 6
0024 pf 30 0.373 0.959 1.029 6
0024 pf 31 0.254 0.795 0.835 6
0024 pf 32 0.493 0.783 0.926 6
0024 pf 33 0.315 1.021 1.068 6
0024 pf 34 0.421 0.976 1.063 6
0024 pf 35 0.404 0.901 0.987 6
0024 pf 36 0.510 1.102 1.214 6
0024 pf 37 0.455 0.817 0.935 6
0024 pf 38 0.316 0.905 0.958 6
0024 pf 39 0.400 0.988 1.066 6
0024 pf 40 0.413 0.882 0.974 6
0024 pf 41 0.329 0.989 1.042 6
0024 pf 42 0.374 0.857 0.935 6
0024 pf 43 0.292 0.719 0.776 6
0024 pf 44 0.455 1.072 1.165 6
0024 pf 45 0.406 0.661 0.775 6
0024 pf 46 0.408 0.909 0.997 6
0024 pf 47 0.405 0.865 0.955 6
0024 pf 48 0.332 1.065 1.116 6
0024 pf 49 0.377 0.946 1.019 6
0024 pf 50 0.379 0.993 1.063 6
0048 em 00 0.442 1.149 1.231 6
0048 cf 00 0.421 1.095 1.173 6
0048 pf 01 0.470 1.054 1.154 6
0048 pf 02 0.523 1.051 1.174 6
0048 pf 03 0.340 1.314 1.357 6
0048 pf 04 0.594 1.220 1.357 6
0048 pf 05 0.523 1.068 1.189 6
0048 pf 06 0.229 1.288 1.309 6
0048 pf 07 0.518 1.177 1.286 6
0048 pf 08 0.416 1.174 1.246 6
0048 pf 09 0.325 1.028 1.078 6
0048 pf 10 0.496 1.253 1.348 6
0048 pf 11 0.693 1.227 1.409 6
0048 pf 12 0.533 1.111 1.232 6
0048 pf 13 0.247 1.225 1.250 6
0048 pf 14 0.341 1.077 1.129 6
0048 pf 15 0.348 0.907 0.972 6
0048 pf 16 0.560 1.116 1.249 6
0048 pf 17 0.513 1.236 1.338 6
0048 pf 18 0.394 1.077 1.147 6
0048 pf 19 0.412 1.189 1.259 6
0048 pf 20 0.306 1.153 1.193 6
0048 pf 21 0.334 0.949 1.006 6
0048 pf 22 0.541 1.117 1.241 6
0048 pf 23 0.311 1.155 1.196 6
0048 pf 24 0.409 1.129 1.201 6
0048 pf 25 0.426 1.051 1.134 6
0048 pf 26 0.566 1.075 1.215 6
0048 pf 27 0.436 1.196 1.273 6
0048 pf 28 0.460 1.232 1.315 6
0048 pf 29 0.467 1.095 1.191 6
0048 pf 30 0.390 1.185 1.247 6
0048 pf 31 0.180 0.960 0.977 6
0048 pf 32 0.522 1.084 1.203 6
0048 pf 33 0.400 1.285 1.346 6
0048 pf 34 0.351 1.184 1.235 6
0048 pf 35 0.485 1.212 1.306 6
0048 pf 36 0.686 1.500 1.650 6
0048 pf 37 0.446 1.115 1.201 6
0048 pf 38 0.439 1.060 1.147 6
0048 pf 39 0.351 1.320 1.366 6
