ecmf prod rt 2016012100 51 046
0024 em 00 -0.080 -0.132 0.154 2
0024 cf 00 -0.142 -0.109 0.179 1
0024 pf 01 -0.120 -0.251 0.278 2
0024 pf 02 -0.023 -0.149 0.151 2
0024 pf 03 -0.041 -0.158 0.163 2
0024 pf 04 -0.030 0.018 0.035 8
0024 pf 05 -0.111 -0.125 0.167 2
0024 pf 06 -0.001 -0.085 0.085 2
0024 pf 07 -0.154 -0.255 0.298 2
0024 pf 08 0.057 0.072 0.092 6
0024 pf 09 0.042 -0.066 0.078 3
0024 pf 10 -0.192 -0.132 0.233 1
0024 pf 11 -0.226 -0.171 0.284 1
0024 pf 12 -0.010 -0.075 0.076 2
0024 pf 13 -0.163 -0.168 0.234 2
0024 pf 14 -0.072 -0.082 0.109 2
0024 pf 15 -0.283 -0.093 0.298 1
0024 pf 16 0.018 -0.111 0.113 3
0024 pf 17 -0.030 -0.008 0.031 1
0024 pf 18 0.046 -0.322 0.325 3
0024 pf 19 -0.094 -0.088 0.129 1
0024 pf 20 -0.118 -0.166 0.203 2
0024 pf 21 -0.062 -0.234 0.242 2
0024 pf 22 -0.147 -0.009 0.148 1
0024 pf 23 -0.053 -0.131 0.141 2
0024 pf 24 -0.113 0.008 0.113 8
0024 pf 25 -0.162 -0.111 0.196 1
0024 pf 26 -0.052 -0.020 0.056 1
0024 pf 27 -0.289 -0.077 0.299 1
0024 pf 28 -0.168 -0.245 0.297 2
0024 pf 29 -0.187 -0.004 0.187 1
0024 pf 30 -0.094 -0.067 0.115 1
0024 pf 31 0.050 -0.051 0.071 3
0024 pf 32 -0.068 -0.234 0.243 2
0024 pf 33 -0.015 -0.218 0.218 2
0024 pf 34 -0.049 -0.190 0.196 2
0024 pf 35 0.010 -0.146 0.146 3
0024 pf 36 -0.056 -0.100 0.114 2
0024 pf 37 -0.211 -0.118 0.241 1
0024 pf 38 -0.026 -0.281 0.282 2
0024 pf 39 -0.180 -0.082 0.198 1
0024 pf 40 -0.031 -0.143 0.146 2
0024 pf 41 0.176 -0.087 0.197 4
0024 pf 42 -0.063 -0.077 0.100 2
0024 pf 43 -0.122 -0.021 0.124 1
0024 pf 44 -0.056 -0.109 0.122 2
0024 pf 45 -0.100 -0.190 0.215 2
0024 pf 46 -0.133 -0.146 0.198 2
0024 pf 47 0.064 -0.150 0.163 3
0024 pf 48 0.082 -0.152 0.172 3
0024 pf 49 -0.031 -0.101 0.106 2
0024 pf 50 -0.036 -0.198 0.201 2
0048 em 00 -0.142 0.144 0.202 7
0048 cf 00 -0.155 0.095 0.182 8
0048 pf 01 -0.090 0.011 0.090 8
0048 pf 02 -0.039 0.145 0.150 7
0048 pf 03 -0.086 0.370 0.380 7
0048 pf 04 -0.166 0.211 0.268 7
0048 pf 05 0.019 -0.045 0.049 3
0048 pf 06 -0.109 0.369 0.384 7
0048 pf 07 -0.151 0.081 0.171 8
0048 pf 08 -0.211 0.370 0.426 7
0048 pf 09 -0.010 0.236 0.236 7
0048 pf 10 -0.247 0.142 0.285 8
0048 pf 11 -0.287 0.002 0.287 8
0048 pf 12 -0.191 0.095 0.214 8
0048 pf 13 -0.314 0.083 0.325 8
0048 pf 14 -0.190 0.049 0.196 8
0048 pf 15 -0.233 0.061 0.241 8
0048 pf 16 -0.027 -0.019 0.033 1
0048 pf 17 -0.001 0.277 0.277 7
0048 pf 18 -0.074 0.218 0.230 7
0048 pf 19 -0.178 0.224 0.286 7
0048 pf 20 -0.212 -0.003 0.212 1
0048 pf 21 -0.249 0.122 0.277 8
0048 pf 22 -0.236 0.173 0.292 8
0048 pf 23 0.003 0.259 0.260 6
0048 pf 24 -0.076 0.315 0.324 7
0048 pf 25 -0.219 0.115 0.247 8
0048 pf 26 -0.017 0.312 0.313 7
0048 pf 27 -0.376 0.106 0.391 8
0048 pf 28 -0.163 0.072 0.178 8
0048 pf 29 -0.261 0.241 0.355 8
0048 pf 30 -0.264 0.137 0.297 8
0048 pf 31 -0.070 0.126 0.144 7
0048 pf 32 -0.101 0.065 0.120 8
0048 pf 33 -0.114 0.133 0.175 7
0048 pf 34 -0.110 0.088 0.141 8
0048 pf 35 -0.147 0.226 0.270 7
0048 pf 36 -0.154 -0.025 0.156 1
0048 pf 37 -0.372 0.123 0.392 8
0048 pf 38 0.116 0.064 0.133 5
0048 pf 39 -0.360 0.155 0.392 8
0048 pf 40 -0.061 0.203 0.212 7
0048 pf 41 0.208 0.317 0.379 6
0048 pf 42 -0.233 0.365 0.433 7
0048 pf 43 -0.107 -0.013 0.108 1
0048 pf 44 -0.075 0.263 0.273 7
0048 pf 45 -0.306 -0.110 0.325 1
0048 pf 46 -0.054 0.157 0.166 7
0048 pf 47 -0.045 0.278 0.281 7
0048 pf 48 0.033 0.168 0.172 6
0048 pf 49 -0.099 0.159 0.187 7
0048 pf 50 -0.148 0.225 0.270 7
0072 em 00 -0.109 0.097 0.146 8
0072 cf 00 -0.119 0.096 0.152 8
0072 pf 01 0.020 0.011 0.023 5
0072 pf 02 0.077 0.239 0.252 6
0072 pf 03 -0.205 0.408 0.457 7
0072 pf 04 -0.160 0.166 0.230 7
0072 pf 05 0.156 -0.280 0.320 3
0072 pf 06 -0.225 0.378 0.440 7
0072 pf 07 -0.079 0.161 0.179 7
0072 pf 08 -0.072 0.111 0.133 7
0072 pf 09 0.190 0.164 0.251 5
0072 pf 10 -0.268 -0.006 0.268 1
0072 pf 11 -0.153 -0.138 0.206 1
0072 pf 12 -0.226 0.092 0.244 8
0072 pf 13 -0.248 -0.120 0.275 1
0072 pf 14 -0.229 0.013 0.230 8
0072 pf 15 -0.284 -0.026 0.285 1
0072 pf 16 0.004 -0.027 0.028 3
0072 pf 17 -0.216 0.303 0.372 7
0072 pf 18 -0.057 0.231 0.238 7
0072 pf 19 0.109 0.072 0.131 5
0072 pf 20 -0.156 -0.132 0.204 1
0072 pf 21 -0.228 0.029 0.230 8
0072 pf 22 -0.072 0.202 0.215 7
0072 pf 23 0.020 0.258 0.259 6
0072 pf 24 -0.155 0.278 0.318 7
0072 pf 25 -0.247 0.315 0.400 7
0072 pf 26 -0.161 0.235 0.285 7
0072 pf 27 0.021 0.125 0.126 6
0072 pf 28 -0.220 0.001 0.220 8
0072 pf 29 -0.113 0.062 0.129 8
0072 pf 30 -0.229 0.039 0.232 8
0072 pf 31 -0.007 0.226 0.226 7
0072 pf 32 -0.016 0.021 0.026 7
0072 pf 33 -0.118 0.289 0.313 7
0072 pf 34 -0.158 0.067 0.171 8
0072 pf 35 -0.087 0.137 0.162 7
0072 pf 36 -0.098 0.077 0.125 8
0072 pf 37 -0.364 0.103 0.378 8
0072 pf 38 0.156 -0.059 0.166 4
0072 pf 39 -0.458 -0.008 0.458 1
0072 pf 40 0.020 0.112 0.114 6
0072 pf 41 0.019 0.065 0.068 6
0072 pf 42 -0.153 0.328 0.362 7
0072 pf 43 -0.041 -0.071 0.081 2
0072 pf 44 -0.004 0.176 0.176 7
0072 pf 45 -0.221 -0.063 0.230 1
0072 pf 46 0.142 0.195 0.242 6
0072 pf 47 -0.156 0.187 0.244 7
0072 pf 48 0.206 0.246 0.320 6
0072 pf 49 -0.312 0.157 0.349 8
0072 pf 50 -0.080 0.208 0.223 7
0096 em 00 0.089 -0.365 0.376 3
0096 cf 00 0.172 -0.396 0.431 3
0096 pf 01 0.266 -0.410 0.489 3
0096 pf 02 0.339 -0.136 0.365 4
0096 pf 03 0.111 -0.233 0.258 3
0096 pf 04 0.018 -0.155 0.156 3
0096 pf 05 0.391 -0.748 0.844 3
0096 pf 06 -0.195 -0.072 0.208 1
0096 pf 07 0.222 -0.202 0.300 4
0096 pf 08 0.061 -0.272 0.278 3
0096 pf 09 0.289 -0.378 0.476 3
0096 pf 10 -0.151 -0.402 0.429 2
0096 pf 11 0.210 -0.773 0.801 3
0096 pf 12 -0.024 -0.573 0.573 2
