ecmf prod rt 2018021900 51 046
0024 em 00 -1.070 0.410 1.146 8
0024 cf 00 -1.066 0.391 1.135 8
0024 pf 01 -1.054 0.437 1.141 8
0024 pf 02 -1.107 0.555 1.238 8
0024 pf 03 -1.058 0.451 1.150 8
0024 pf 04 -0.932 0.398 1.014 8
0024 pf 05 -1.018 0.333 1.071 8
0024 pf 06 -1.079 0.489 1.185 8
0024 pf 07 -1.071 0.416 1.149 8
0024 pf 08 -0.999 0.306 1.045 8
0024 pf 09 -1.116 0.478 1.214 8
0024 pf 10 -1.187 0.435 1.265 8
0024 pf 11 -1.092 0.403 1.164 8
0024 pf 12 -1.072 0.424 1.152 8
0024 pf 13 -1.113 0.317 1.157 8
0024 pf 14 -0.954 0.514 1.083 8
0024 pf 15 -0.955 0.422 1.045 8
0024 pf 16 -0.960 0.368 1.028 8
0024 pf 17 -1.071 0.462 1.166 8
0024 pf 18 -1.087 0.393 1.156 8
0024 pf 19 -1.017 0.475 1.122 8
0024 pf 20 -1.076 0.284 1.113 8
0024 pf 21 -1.011 0.401 1.088 8
0024 pf 22 -0.870 0.344 0.935 8
0024 pf 23 -1.051 0.397 1.124 8
0024 pf 24 -1.087 0.460 1.180 8
0024 pf 25 -1.075 0.512 1.191 8
0024 pf 26 -0.947 0.357 1.012 8
0024 pf 27 -1.096 0.412 1.171 8
0024 pf 28 -1.109 0.558 1.241 8
0024 pf 29 -1.117 0.337 1.167 8
0024 pf 30 -1.001 0.431 1.090 8
0024 pf 31 -1.083 0.420 1.161 8
0024 pf 32 -0.926 0.581 1.093 8
0024 pf 33 -1.076 0.366 1.136 8
0024 pf 34 -1.020 0.488 1.131 8
0024 pf 35 -1.059 0.356 1.117 8
0024 pf 36 -1.035 0.500 1.150 8
0024 pf 37 -0.910 0.417 1.001 8
0024 pf 38 -1.080 0.181 1.095 8
0024 pf 39 -1.006 0.414 1.088 8
0024 pf 40 -0.866 0.468 0.984 8
0024 pf 41 -1.052 0.342 1.106 8
0024 pf 42 -1.057 0.447 1.148 8
0024 pf 43 -1.029 0.452 1.124 8
0024 pf 44 -1.130 0.353 1.184 8
0024 pf 45 -1.042 0.468 1.142 8
0024 pf 46 -1.116 0.456 1.206 8
0024 pf 47 -0.991 0.333 1.045 8
0024 pf 48 -1.221 0.341 1.268 8
0024 pf 49 -1.100 0.332 1.149 8
0024 pf 50 -1.181 0.481 1.275 8
0048 em 00 -1.033 -0.006 1.033 1
0048 cf 00 -1.027 -0.045 1.028 1
0048 pf 01 -1.089 -0.022 1.089 1
0048 pf 02 -0.990 0.089 0.994 8
0048 pf 03 -0.987 -0.016 0.988 1
0048 pf 04 -0.869 0.140 0.880 8
0048 pf 05 -0.915 -0.053 0.916 1
0048 pf 06 -1.058 0.107 1.063 8
0048 pf 07 -1.029 -0.107 1.035 1
0048 pf 08 -0.906 -0.130 0.915 1
0048 pf 09 -0.995 0.029 0.995 8
0048 pf 10 -1.106 -0.058 1.108 1
0048 pf 11 -0.912 -0.018 0.912 1
0048 pf 12 -1.077 0.002 1.077 8
0048 pf 13 -1.074 -0.064 1.076 1
0048 pf 14 -0.950 0.156 0.963 8
0048 pf 15 -0.902 0.002 0.902 8
0048 pf 16 -1.025 -0.069 1.027 1
0048 pf 17 -1.053 0.022 1.053 8
0048 pf 18 -0.960 0.155 0.973 8
0048 pf 19 -1.167 0.164 1.178 8
0048 pf 20 -1.067 -0.035 1.068 1
0048 pf 21 -0.986 0.099 0.991 8
0048 pf 22 -0.748 0.068 0.751 8
0048 pf 23 -1.001 0.075 1.004 8
0048 pf 24 -1.069 -0.073 1.072 1
0048 pf 25 -0.895 0.126 0.904 8
0048 pf 26 -0.884 -0.022 0.884 1
0048 pf 27 -1.109 0.078 1.112 8
0048 pf 28 -1.087 0.082 1.090 8
0048 pf 29 -0.901 -0.123 0.909 1
0048 pf 30 -0.992 0.128 1.000 8
0048 pf 31 -1.162 -0.022 1.163 1
0048 pf 32 -0.880 0.107 0.887 8
0048 pf 33 -1.059 0.013 1.059 8
0048 pf 34 -1.090 0.043 1.091 8
0048 pf 35 -1.041 -0.016 1.042 1
0048 pf 36 -1.104 -0.156 1.115 1
0048 pf 37 -0.884 0.005 0.884 8
0048 pf 38 -0.990 -0.253 1.022 1
0048 pf 39 -1.022 0.152 1.034 8
0048 pf 40 -0.788 -0.088 0.793 1
0048 pf 41 -0.884 -0.040 0.885 1
0048 pf 42 -0.930 0.098 0.935 8
0048 pf 43 -0.809 -0.089 0.814 1
0048 pf 44 -1.171 -0.047 1.172 1
0048 pf 45 -1.087 -0.024 1.087 1
0048 pf 46 -1.139 0.004 1.139 8
0048 pf 47 -1.142 0.052 1.143 8
0048 pf 48 -1.218 -0.101 1.222 1
0048 pf 49 -1.107 -0.245 1.133 1
0048 pf 50 -1.311 0.136 1.318 8
0072 em 00 -0.985 -0.532 1.120 1
0072 cf 00 -0.986 -0.520 1.115 1
0072 pf 01 -1.046 -0.564 1.189 1
0072 pf 02 -0.995 -0.529 1.127 1
0072 pf 03 -0.861 -0.513 1.002 1
0072 pf 04 -0.779 -0.416 0.883 1
0072 pf 05 -0.844 -0.510 0.986 1
0072 pf 06 -1.097 -0.330 1.145 1
0072 pf 07 -0.909 -0.715 1.156 1
0072 pf 08 -0.738 -0.650 0.983 1
0072 pf 09 -1.132 -0.347 1.184 1
0072 pf 10 -0.922 -0.438 1.021 1
0072 pf 11 -0.681 -0.497 0.843 1
0072 pf 12 -1.172 -0.500 1.274 1
0072 pf 13 -1.228 -0.539 1.341 1
0072 pf 14 -0.949 -0.346 1.010 1
0072 pf 15 -0.893 -0.693 1.130 1
0072 pf 16 -0.863 -0.542 1.019 1
0072 pf 17 -1.095 -0.483 1.197 1
0072 pf 18 -0.763 -0.333 0.832 1
0072 pf 19 -1.237 -0.306 1.275 1
0072 pf 20 -0.991 -0.371 1.058 1
0072 pf 21 -1.051 -0.466 1.150 1
0072 pf 22 -0.864 -0.471 0.985 1
0072 pf 23 -0.940 -0.453 1.044 1
0072 pf 24 -1.010 -0.648 1.200 1
