ecmf prod rt 2020120300 51 046
0024 em 00 0.885 -0.187 0.904 4
0024 cf 00 0.824 -0.193 0.846 4
0024 pf 01 0.848 -0.105 0.855 4
0024 pf 02 0.846 -0.121 0.855 4
0024 pf 03 0.861 -0.168 0.877 4
0024 pf 04 1.041 -0.273 1.076 4
0024 pf 05 0.959 -0.170 0.974 4
0024 pf 06 0.893 -0.172 0.910 4
0024 pf 07 0.888 -0.337 0.949 4
0024 pf 08 0.888 -0.257 0.925 4
0024 pf 09 0.954 -0.012 0.954 4
0024 pf 10 0.864 -0.175 0.882 4
0024 pf 11 0.823 -0.202 0.847 4
0024 pf 12 0.898 -0.260 0.935 4
0024 pf 13 0.889 -0.074 0.892 4
0024 pf 14 0.899 -0.290 0.945 4
0024 pf 15 0.865 -0.203 0.889 4
0024 pf 16 0.828 -0.083 0.832 4
0024 pf 17 0.777 -0.183 0.798 4
0024 pf 18 0.848 -0.089 0.853 4
0024 pf 19 0.927 -0.221 0.953 4
0024 pf 20 0.914 -0.369 0.985 4
0024 pf 21 0.935 -0.098 0.940 4
0024 pf 22 0.865 -0.335 0.928 4
0024 pf 23 0.840 -0.291 0.889 4
0024 pf 24 0.877 -0.176 0.895 4
0024 pf 25 0.867 -0.262 0.906 4
0024 pf 26 0.940 -0.142 0.950 4
0024 pf 27 0.834 -0.353 0.906 4
0024 pf 28 0.809 -0.284 0.857 4
0024 pf 29 0.812 -0.104 0.819 4
0024 pf 30 0.913 -0.136 0.923 4
0024 pf 31 0.939 -0.167 0.954 4
0024 pf 32 0.913 -0.199 0.934 4
0024 pf 33 0.990 -0.118 0.997 4
0024 pf 34 0.953 -0.215 0.977 4
0024 pf 35 0.931 -0.182 0.948 4
0024 pf 36 0.932 -0.142 0.943 4
0024 pf 37 0.846 -0.080 0.850 4
0024 pf 38 0.809 -0.077 0.813 4
0024 pf 39 0.974 -0.175 0.990 4
0024 pf 40 0.781 -0.256 0.821 4
0024 pf 41 0.994 -0.175 1.010 4
0024 pf 42 0.813 -0.306 0.869 4
0024 pf 43 0.885 -0.169 0.901 4
0024 pf 44 0.914 -0.129 0.923 4
0024 pf 45 0.763 -0.126 0.774 4
0024 pf 46 0.874 -0.356 0.943 4
0024 pf 47 0.861 -0.036 0.862 4
0024 pf 48 0.884 -0.193 0.905 4
0024 pf 49 0.939 -0.137 0.949 4
0024 pf 50 0.750 -0.257 0.793 4
0048 em 00 1.056 -0.077 1.059 4
0048 cf 00 1.007 -0.109 1.013 4
0048 pf 01 1.024 -0.035 1.025 4
0048 pf 02 0.799 -0.166 0.816 4
0048 pf 03 1.086 -0.042 1.087 4
0048 pf 04 1.325 -0.111 1.330 4
0048 pf 05 1.074 0.193 1.092 5
0048 pf 06 0.941 0.064 0.944 5
0048 pf 07 1.148 -0.224 1.170 4
0048 pf 08 1.100 -0.216 1.121 4
0048 pf 09 1.212 0.015 1.212 5
0048 pf 10 1.074 0.125 1.081 5
0048 pf 11 0.793 -0.230 0.826 4
0048 pf 12 1.220 -0.114 1.225 4
0048 pf 13 1.104 0.191 1.121 5
0048 pf 14 0.897 -0.229 0.925 4
0048 pf 15 1.067 -0.141 1.076 4
0048 pf 16 1.079 -0.021 1.080 4
0048 pf 17 0.984 -0.046 0.985 4
0048 pf 18 0.897 -0.020 0.897 4
0048 pf 19 1.094 -0.096 1.098 4
0048 pf 20 1.175 -0.231 1.197 4
0048 pf 21 1.090 0.177 1.105 5
0048 pf 22 1.102 -0.375 1.164 4
0048 pf 23 1.011 -0.050 1.012 4
0048 pf 24 1.102 -0.021 1.102 4
0048 pf 25 1.239 -0.234 1.261 4
0048 pf 26 1.162 -0.073 1.164 4
0048 pf 27 0.957 -0.355 1.021 4
0048 pf 28 0.974 -0.280 1.013 4
0048 pf 29 0.903 -0.068 0.906 4
0048 pf 30 1.094 -0.114 1.100 4
0048 pf 31 1.225 0.106 1.230 5
0048 pf 32 1.021 -0.079 1.024 4
0048 pf 33 1.201 -0.109 1.206 4
0048 pf 34 1.198 -0.104 1.203 4
0048 pf 35 1.005 0.033 1.005 5
0048 pf 36 1.051 -0.058 1.053 4
0048 pf 37 0.765 0.176 0.786 5
0048 pf 38 0.928 -0.036 0.929 4
0048 pf 39 1.215 -0.049 1.216 4
0048 pf 40 1.016 -0.294 1.058 4
0048 pf 41 1.198 0.262 1.226 5
0048 pf 42 0.927 -0.297 0.973 4
0048 pf 43 1.123 -0.174 1.136 4
0048 pf 44 1.058 -0.158 1.070 4
0048 pf 45 0.756 0.053 0.758 5
0048 pf 46 1.216 -0.355 1.267 4
0048 pf 47 1.009 0.107 1.015 5
0048 pf 48 1.073 -0.131 1.081 4
0048 pf 49 1.034 -0.074 1.037 4
0048 pf 50 0.944 -0.147 0.956 4
0072 em 00 0.897 -0.070 0.900 4
0072 cf 00 0.824 -0.163 0.840 4
0072 pf 01 0.666 0.070 0.670 5
0072 pf 02 0.757 -0.038 0.758 4
0072 pf 03 0.868 -0.048 0.870 4
0072 pf 04 1.293 0.001 1.293 5
0072 pf 05 0.856 0.216 0.882 5
0072 pf 06 0.693 0.035 0.694 5
0072 pf 07 0.868 -0.281 0.912 4
0072 pf 08 1.159 -0.243 1.184 4
0072 pf 09 1.099 0.045 1.100 5
0072 pf 10 0.893 0.162 0.907 5
0072 pf 11 0.517 -0.359 0.630 4
0072 pf 12 1.073 -0.066 1.075 4
0072 pf 13 0.836 0.196 0.858 5
0072 pf 14 0.626 -0.315 0.701 4
0072 pf 15 0.847 -0.077 0.851 4
0072 pf 16 0.935 -0.121 0.943 4
0072 pf 17 0.929 -0.061 0.931 4
0072 pf 18 0.656 -0.144 0.672 4
0072 pf 19 0.935 -0.105 0.941 4
0072 pf 20 1.172 -0.121 1.178 4
0072 pf 21 0.934 0.148 0.946 5
0072 pf 22 1.000 -0.233 1.027 4
0072 pf 23 0.709 0.030 0.710 5
0072 pf 24 0.912 0.026 0.913 5
0072 pf 25 1.203 -0.333 1.248 4
0072 pf 26 1.177 -0.114 1.183 4
0072 pf 27 1.001 -0.563 1.149 4
0072 pf 28 0.959 -0.531 1.096 4
0072 pf 29 0.780 0.071 0.783 5
0072 pf 30 0.944 -0.094 0.949 4
0072 pf 31 0.769 0.059 0.771 5
0072 pf 32 0.910 0.108 0.916 5
0072 pf 33 0.948 0.117 0.956 5
0072 pf 34 1.225 0.085 1.228 5
0072 pf 35 0.823 0.057 0.825 5
0072 pf 36 0.889 -0.097 0.894 4
0072 pf 37 0.428 0.137 0.450 5
0072 pf 38 0.760 0.019 0.760 5
0072 pf 39 0.891 -0.110 0.898 4
0072 pf 40 0.934 -0.344 0.995 4
0072 pf 41 1.096 0.460 1.189 5
0072 pf 42 0.831 -0.340 0.898 4
0072 pf 43 0.993 -0.187 1.010 4
0072 pf 44 0.899 -0.172 0.916 4
0072 pf 45 0.418 0.026 0.418 5
0072 pf 46 1.282 -0.239 1.304 4
0072 pf 47 1.033 0.066 1.036 5
0072 pf 48 0.909 -0.098 0.915 4
0072 pf 49 0.935 -0.088 0.939 4
0072 pf 50 0.739 -0.188 0.763 4
0096 em 00 0.824 0.010 0.824 5
0096 cf 00 0.719 -0.086 0.724 4
0096 pf 01 0.373 0.218 0.432 5
0096 pf 02 0.837 0.130 0.847 5
0096 pf 03 0.410 -0.155 0.438 4
0096 pf 04 1.474 0.231 1.492 5
0096 pf 05 0.652 0.386 0.758 5
0096 pf 06 0.415 0.058 0.419 5
0096 pf 07 1.029 -0.049 1.030 4
0096 pf 08 1.276 -0.067 1.278 4
0096 pf 09 1.028 -0.047 1.029 4
0096 pf 10 0.682 0.155 0.699 5
0096 pf 11 0.484 -0.511 0.704 3
0096 pf 12 0.974 0.018 0.974 5
0096 pf 13 0.690 0.384 0.789 5
0096 pf 14 0.814 -0.236 0.847 4
0096 pf 15 0.654 0.007 0.654 5
0096 pf 16 0.873 -0.122 0.881 4
0096 pf 17 1.120 -0.095 1.124 4
0096 pf 18 0.676 -0.068 0.679 4
0096 pf 19 0.834 0.098 0.840 5
0096 pf 20 1.239 0.124 1.246 5
0096 pf 21 0.814 0.394 0.904 5
