ecmf prod rt 2018011500 51 046
0072 pf 33 2.187 -1.099 2.448 4
0072 pf 34 1.904 -0.773 2.055 4
0072 pf 35 1.941 -1.375 2.379 4
0072 pf 36 1.968 -0.696 2.088 4
0072 pf 37 1.888 -1.246 2.262 4
0072 pf 38 1.674 -1.058 1.980 4
0072 pf 39 1.881 -1.002 2.131 4
0072 pf 40 1.816 -1.473 2.339 4
0072 pf 41 1.853 -0.909 2.064 4
0072 pf 42 2.066 -1.436 2.516 4
0072 pf 43 2.142 -0.808 2.290 4
0072 pf 44 1.899 -0.977 2.136 4
0072 pf 45 1.617 -1.341 2.100 4
0072 pf 46 1.615 -1.179 2.000 4
0072 pf 47 1.735 -1.048 2.027 4
0072 pf 48 1.919 -1.057 2.190 4
0072 pf 49 1.749 -1.066 2.048 4
0072 pf 50 2.072 -1.104 2.347 4
0096 em 00 1.667 -0.787 1.844 4
0096 cf 00 1.516 -0.788 1.708 4
0096 pf 01 1.236 -1.037 1.614 4
0096 pf 02 1.569 -0.952 1.835 4
0096 pf 03 1.483 -0.502 1.566 4
0096 pf 04 1.823 -0.725 1.962 4
0096 pf 05 1.338 -0.613 1.472 4
0096 pf 06 1.731 -0.912 1.957 4
0096 pf 07 1.888 -0.749 2.031 4
0096 pf 08 1.564 -0.478 1.636 4
0096 pf 09 1.427 -0.780 1.626 4
0096 pf 10 1.729 -0.667 1.854 4
0096 pf 11 1.783 -0.521 1.858 4
0096 pf 12 1.543 -1.107 1.899 4
0096 pf 13 1.639 -0.909 1.875 4
0096 pf 14 1.548 -0.722 1.708 4
0096 pf 15 1.563 -1.125 1.926 4
0096 pf 16 1.574 -0.927 1.826 4
0096 pf 17 1.842 -0.870 2.037 4
0096 pf 18 1.577 -0.582 1.681 4
0096 pf 19 1.630 -0.753 1.796 4
0096 pf 20 1.786 -0.805 1.959 4
0096 pf 21 1.443 -0.553 1.545 4
0096 pf 22 1.533 -0.882 1.769 4
0096 pf 23 1.862 -0.919 2.076 4
0096 pf 24 1.844 -0.867 2.038 4
0096 pf 25 1.434 -1.260 1.908 4
0096 pf 26 1.345 -0.437 1.415 4
0096 pf 27 1.534 -0.901 1.779 4
0096 pf 28 1.895 -0.707 2.023 4
0096 pf 29 1.827 -1.057 2.111 4
0096 pf 30 1.544 -0.662 1.679 4
0096 pf 31 1.924 -0.887 2.118 4
0096 pf 32 1.811 -0.772 1.969 4
0096 pf 33 1.974 -0.580 2.058 4
0096 pf 34 1.552 -0.595 1.662 4
0096 pf 35 1.817 -0.850 2.006 4
0096 pf 36 1.738 -0.537 1.819 4
0096 pf 37 1.786 -0.994 2.044 4
0096 pf 38 1.542 -0.679 1.685 4
0096 pf 39 1.703 -0.778 1.872 4
0096 pf 40 1.686 -0.946 1.933 4
0096 pf 41 1.496 -0.685 1.646 4
0096 pf 42 2.219 -1.001 2.434 4
0096 pf 43 1.714 -0.566 1.805 4
0096 pf 44 1.681 -0.491 1.751 4
0096 pf 45 1.282 -1.183 1.745 4
0096 pf 46 1.395 -0.674 1.550 4
0096 pf 47 1.686 -0.820 1.875 4
0096 pf 48 1.656 -0.624 1.770 4
0096 pf 49 1.567 -0.751 1.737 4
0096 pf 50 1.885 -0.808 2.051 4
0120 em 00 1.602 -0.595 1.709 4
0120 cf 00 1.451 -0.629 1.582 4
0120 pf 01 1.165 -0.977 1.521 4
0120 pf 02 1.388 -0.814 1.609 4
0120 pf 03 1.431 -0.236 1.451 4
0120 pf 04 1.733 -0.447 1.790 4
