ecmf prod rt 2021123000 51 046
0024 em 00 -1.918 1.336 2.337 8
0024 cf 00 -1.934 1.312 2.336 8
0024 pf 01 -2.046 1.304 2.426 8
0024 pf 02 -2.004 1.298 2.388 8
0024 pf 03 -1.954 1.251 2.320 8
0024 pf 04 -2.077 1.453 2.534 8
0024 pf 05 -1.718 1.420 2.229 8
0024 pf 06 -1.890 1.207 2.243 8
0024 pf 07 -1.973 1.453 2.450 8
0024 pf 08 -1.844 1.340 2.279 8
0024 pf 09 -1.784 1.294 2.204 8
0024 pf 10 -1.865 1.267 2.255 8
0024 pf 11 -1.875 1.260 2.259 8
0024 pf 12 -1.922 1.165 2.247 8
0024 pf 13 -1.882 1.341 2.311 8
0024 pf 14 -1.912 1.352 2.342 8
0024 pf 15 -2.003 1.401 2.444 8
0024 pf 16 -1.840 1.347 2.280 8
0024 pf 17 -1.856 1.222 2.222 8
0024 pf 18 -1.841 1.290 2.248 8
0024 pf 19 -2.083 1.360 2.487 8
0024 pf 20 -1.891 1.215 2.248 8
0024 pf 21 -1.974 1.389 2.414 8
0024 pf 22 -1.796 1.150 2.133 8
0024 pf 23 -1.908 1.392 2.361 8
0024 pf 24 -1.933 1.205 2.278 8
0024 pf 25 -2.038 1.317 2.426 8
0024 pf 26 -1.899 1.287 2.294 8
0024 pf 27 -1.965 1.235 2.321 8
0024 pf 28 -1.887 1.175 2.223 8
0024 pf 29 -1.851 1.275 2.248 8
0024 pf 30 -1.920 1.462 2.413 8
0024 pf 31 -1.849 1.318 2.271 8
0024 pf 32 -1.862 1.412 2.337 8
0024 pf 33 -1.930 1.263 2.307 8
0024 pf 34 -1.957 1.188 2.289 8
0024 pf 35 -1.881 1.249 2.258 8
0024 pf 36 -1.946 1.442 2.422 8
0024 pf 37 -1.957 1.270 2.333 8
0024 pf 38 -1.790 1.348 2.241 8
0024 pf 39 -1.857 1.282 2.257 8
0024 pf 40 -1.869 1.367 2.316 8
0024 pf 41 -1.858 1.390 2.320 8
0024 pf 42 -1.864 1.429 2.349 8
0024 pf 43 -1.973 1.398 2.418 8
0024 pf 44 -1.847 1.401 2.319 8
0024 pf 45 -1.823 1.238 2.203 8
0024 pf 46 -1.943 1.313 2.345 8
0024 pf 47 -1.876 1.404 2.343 8
0024 pf 48 -1.962 1.220 2.311 8
0024 pf 49 -2.045 1.455 2.510 8
0024 pf 50 -1.912 1.246 2.282 8
0048 em 00 -1.825 1.265 2.221 8
0048 cf 00 -1.882 1.258 2.263 8
0048 pf 01 -2.128 1.038 2.367 8
0048 pf 02 -2.025 1.253 2.381 8
0048 pf 03 -1.792 1.105 2.105 8
0048 pf 04 -2.032 1.451 2.497 8
0048 pf 05 -1.723 1.355 2.192 8
0048 pf 06 -1.834 1.079 2.128 8
0048 pf 07 -2.042 1.204 2.371 8
0048 pf 08 -1.763 1.250 2.161 8
0048 pf 09 -1.704 1.188 2.077 8
0048 pf 10 -1.779 1.153 2.120 8
0048 pf 11 -1.829 1.292 2.239 8
0048 pf 12 -1.684 1.241 2.092 8
0048 pf 13 -1.650 1.404 2.166 8
0048 pf 14 -1.889 1.149 2.211 8
0048 pf 15 -1.916 1.221 2.272 8
0048 pf 16 -1.798 1.379 2.266 8
0048 pf 17 -1.667 1.241 2.079 8
0048 pf 18 -1.852 1.350 2.292 8
0048 pf 19 -2.023 1.289 2.399 8
0048 pf 20 -1.751 1.131 2.084 8
0048 pf 21 -1.880 1.308 2.290 8
0048 pf 22 -1.453 1.085 1.813 8
0048 pf 23 -1.707 1.225 2.101 8
0048 pf 24 -1.819 1.294 2.232 8
0048 pf 25 -1.883 1.158 2.210 8
0048 pf 26 -1.828 1.112 2.140 8
0048 pf 27 -1.753 1.123 2.082 8
0048 pf 28 -1.897 1.330 2.317 8
0048 pf 29 -1.780 1.226 2.161 8
0048 pf 30 -1.988 1.406 2.435 8
0048 pf 31 -1.497 1.336 2.006 8
