ecmf prod rt 2016020400 51 046
0072 pf 33 0.964 -0.653 1.165 4
0072 pf 34 0.739 -0.516 0.902 4
0072 pf 35 1.044 -0.414 1.123 4
0072 pf 36 0.487 -0.614 0.784 3
0072 pf 37 0.852 -0.592 1.038 4
0072 pf 38 1.044 -0.493 1.154 4
0072 pf 39 0.894 -0.500 1.025 4
0072 pf 40 1.060 -0.513 1.178 4
0072 pf 41 0.974 -0.645 1.169 4
0072 pf 42 0.963 -0.420 1.050 4
0072 pf 43 0.983 -0.350 1.043 4
0072 pf 44 0.884 -0.443 0.988 4
0072 pf 45 0.680 -0.464 0.824 4
0072 pf 46 0.720 -0.706 1.008 4
0072 pf 47 0.620 -0.475 0.781 4
0072 pf 48 1.175 -0.210 1.194 4
0072 pf 49 0.946 -0.469 1.056 4
0072 pf 50 0.885 -0.607 1.073 4
0096 em 00 0.796 -0.682 1.049 4
0096 cf 00 0.844 -0.702 1.098 4
0096 pf 01 0.872 -0.601 1.059 4
0096 pf 02 0.742 -0.383 0.835 4
0096 pf 03 0.725 -0.447 0.852 4
0096 pf 04 0.584 -0.716 0.924 3
0096 pf 05 0.955 -0.816 1.256 4
0096 pf 06 0.843 -0.620 1.046 4
0096 pf 07 0.929 -0.487 1.049 4
0096 pf 08 0.835 -0.787 1.147 4
0096 pf 09 0.996 -0.532 1.129 4
0096 pf 10 0.661 -1.124 1.304 3
0096 pf 11 0.729 -0.583 0.933 4
0096 pf 12 0.974 -0.415 1.058 4
0096 pf 13 0.716 -0.511 0.880 4
0096 pf 14 0.690 -0.839 1.086 3
0096 pf 15 0.874 -0.489 1.001 4
0096 pf 16 0.702 -0.875 1.122 3
0096 pf 17 0.882 -0.542 1.035 4
0096 pf 18 0.752 -0.554 0.934 4
0096 pf 19 0.729 -0.728 1.030 4
0096 pf 20 0.809 -0.777 1.122 4
0096 pf 21 0.898 -0.513 1.034 4
0096 pf 22 1.029 -0.257 1.061 4
0096 pf 23 0.623 -1.018 1.193 3
0096 pf 24 0.723 -0.840 1.108 3
0096 pf 25 0.704 -0.817 1.078 3
0096 pf 26 0.725 -0.475 0.867 4
0096 pf 27 0.779 -0.997 1.266 3
0096 pf 28 0.571 -0.476 0.743 4
0096 pf 29 1.014 -0.933 1.378 4
0096 pf 30 0.949 -0.135 0.958 4
0096 pf 31 0.863 -0.664 1.089 4
0096 pf 32 0.570 -0.712 0.911 3
0096 pf 33 0.676 -0.711 0.982 3
0096 pf 34 0.578 -0.678 0.891 3
0096 pf 35 1.004 -0.537 1.138 4
0096 pf 36 0.759 -1.018 1.270 3
0096 pf 37 0.826 -1.102 1.377 3
0096 pf 38 0.843 -0.670 1.077 4
0096 pf 39 0.675 -0.574 0.886 4
0096 pf 40 0.813 -0.584 1.001 4
