ecmf prod rt 2020121400 51 046
0024 em 00 0.577 0.569 0.810 5
0024 cf 00 0.554 0.546 0.778 5
0024 pf 01 0.494 0.553 0.741 6
0024 pf 02 0.569 0.614 0.837 6
0024 pf 03 0.487 0.559 0.742 6
0024 pf 04 0.566 0.815 0.993 6
0024 pf 05 0.559 0.607 0.825 6
0024 pf 06 0.547 0.415 0.687 5
0024 pf 07 0.520 0.611 0.803 6
0024 pf 08 0.606 0.503 0.788 5
0024 pf 09 0.513 0.361 0.627 5
0024 pf 10 0.605 0.665 0.899 6
0024 pf 11 0.552 0.537 0.770 5
0024 pf 12 0.500 0.648 0.818 6
0024 pf 13 0.630 0.469 0.785 5
0024 pf 14 0.517 0.561 0.763 6
0024 pf 15 0.599 0.646 0.881 6
0024 pf 16 0.533 0.552 0.767 6
0024 pf 17 0.487 0.601 0.773 6
0024 pf 18 0.474 0.496 0.686 6
0024 pf 19 0.658 0.440 0.792 5
0024 pf 20 0.591 0.390 0.708 5
0024 pf 21 0.523 0.643 0.829 6
0024 pf 22 0.700 0.594 0.918 5
0024 pf 23 0.564 0.558 0.793 5
0024 pf 24 0.525 0.580 0.782 6
0024 pf 25 0.713 0.578 0.918 5
0024 pf 26 0.496 0.539 0.732 6
0024 pf 27 0.620 0.511 0.803 5
0024 pf 28 0.532 0.589 0.794 6
0024 pf 29 0.461 0.625 0.776 6
0024 pf 30 0.482 0.590 0.762 6
0024 pf 31 0.567 0.446 0.721 5
0024 pf 32 0.539 0.541 0.764 6
0024 pf 33 0.440 0.689 0.817 6
0024 pf 34 0.482 0.564 0.742 6
0024 pf 35 0.521 0.423 0.671 5
0024 pf 36 0.535 0.713 0.892 6
0024 pf 37 0.589 0.714 0.926 6
0024 pf 38 0.559 0.534 0.774 5
0024 pf 39 0.586 0.547 0.801 5
0024 pf 40 0.615 0.463 0.770 5
0024 pf 41 0.646 0.611 0.889 5
0024 pf 42 0.516 0.692 0.863 6
0024 pf 43 0.747 0.678 1.009 5
0024 pf 44 0.651 0.681 0.942 6
0024 pf 45 0.563 0.537 0.778 5
0024 pf 46 0.652 0.369 0.750 5
0024 pf 47 0.492 0.574 0.756 6
0024 pf 48 0.546 0.653 0.851 6
0024 pf 49 0.655 0.734 0.984 6
0024 pf 50 0.647 0.545 0.846 5
0048 em 00 0.731 0.470 0.870 5
0048 cf 00 0.707 0.388 0.807 5
0048 pf 01 0.551 0.315 0.635 5
0048 pf 02 0.822 0.747 1.111 5
0048 pf 03 0.655 0.220 0.691 5
0048 pf 04 0.608 0.686 0.917 6
0048 pf 05 0.819 0.594 1.012 5
0048 pf 06 0.986 0.374 1.054 5
0048 pf 07 0.598 0.569 0.826 5
0048 pf 08 0.802 0.369 0.883 5
0048 pf 09 0.659 0.211 0.692 5
0048 pf 10 0.579 0.691 0.901 6
0048 pf 11 0.737 0.379 0.828 5
