ecmf prod rt 2019011700 51 046
0024 em 00 1.049 -0.704 1.264 4
0024 cf 00 1.019 -0.705 1.239 4
0024 pf 01 0.893 -0.689 1.127 4
0024 pf 02 0.985 -0.771 1.250 4
0024 pf 03 1.103 -0.635 1.272 4
0024 pf 04 0.985 -0.657 1.184 4
0024 pf 05 1.145 -0.579 1.283 4
0024 pf 06 0.945 -0.791 1.233 4
0024 pf 07 1.040 -0.486 1.148 4
0024 pf 08 1.117 -0.656 1.295 4
0024 pf 09 0.957 -0.573 1.116 4
0024 pf 10 0.994 -0.868 1.319 4
0024 pf 11 1.079 -0.680 1.276 4
0024 pf 12 1.075 -0.494 1.183 4
0024 pf 13 1.116 -0.556 1.247 4
0024 pf 14 1.120 -0.786 1.368 4
0024 pf 15 1.053 -0.633 1.229 4
0024 pf 16 1.036 -0.613 1.204 4
0024 pf 17 1.021 -0.734 1.258 4
0024 pf 18 1.136 -0.637 1.302 4
0024 pf 19 1.059 -0.575 1.205 4
0024 pf 20 1.099 -0.643 1.273 4
0024 pf 21 0.889 -0.661 1.108 4
0024 pf 22 1.070 -0.635 1.245 4
0024 pf 23 1.142 -0.645 1.311 4
0024 pf 24 0.956 -0.791 1.241 4
0024 pf 25 1.070 -0.570 1.212 4
0024 pf 26 0.964 -0.783 1.242 4
0024 pf 27 1.087 -0.800 1.349 4
0024 pf 28 0.994 -0.626 1.175 4
0024 pf 29 1.006 -0.884 1.339 4
0024 pf 30 1.179 -0.725 1.384 4
0024 pf 31 1.067 -0.800 1.334 4
0024 pf 32 1.076 -0.705 1.287 4
0024 pf 33 0.964 -0.669 1.173 4
0024 pf 34 1.101 -0.742 1.327 4
0024 pf 35 0.961 -0.778 1.237 4
0024 pf 36 1.077 -0.850 1.372 4
0024 pf 37 0.995 -0.759 1.252 4
0024 pf 38 1.089 -0.870 1.394 4
0024 pf 39 0.902 -0.584 1.075 4
0024 pf 40 1.260 -0.811 1.498 4
0024 pf 41 1.067 -0.645 1.247 4
0024 pf 42 1.097 -0.635 1.267 4
0024 pf 43 1.099 -0.817 1.369 4
0024 pf 44 1.075 -0.457 1.168 4
0024 pf 45 1.074 -0.735 1.302 4
0024 pf 46 1.064 -0.944 1.422 4
0024 pf 47 1.005 -0.661 1.203 4
0024 pf 48 1.085 -0.816 1.357 4
0024 pf 49 1.115 -0.797 1.370 4
0024 pf 50 0.964 -0.732 1.211 4
0048 em 00 1.159 -0.506 1.265 4
0048 cf 00 1.196 -0.482 1.289 4
0048 pf 01 0.808 -0.644 1.034 4
0048 pf 02 1.084 -0.546 1.214 4
0048 pf 03 1.142 -0.399 1.209 4
0048 pf 04 0.921 -0.528 1.062 4
0048 pf 05 1.183 -0.412 1.253 4
0048 pf 06 1.187 -0.455 1.271 4
0048 pf 07 1.071 -0.375 1.135 4
0048 pf 08 1.172 -0.441 1.252 4
0048 pf 09 0.911 -0.361 0.980 4
0048 pf 10 1.315 -0.712 1.496 4
0048 pf 11 1.148 -0.659 1.323 4
0048 pf 12 1.153 -0.240 1.178 4
0048 pf 13 1.125 -0.359 1.181 4
0048 pf 14 1.364 -0.740 1.552 4
0048 pf 15 1.128 -0.292 1.165 4
0048 pf 16 1.268 -0.399 1.329 4
0048 pf 17 1.256 -0.501 1.352 4
0048 pf 18 1.249 -0.527 1.356 4
0048 pf 19 1.023 -0.487 1.133 4
0048 pf 20 0.935 -0.372 1.006 4
0048 pf 21 0.969 -0.550 1.114 4
0048 pf 22 1.254 -0.421 1.322 4
0048 pf 23 1.278 -0.623 1.422 4
0048 pf 24 0.992 -0.363 1.056 4
0048 pf 25 1.087 -0.486 1.191 4
0048 pf 26 1.129 -0.529 1.247 4
0048 pf 27 1.164 -0.451 1.248 4
0048 pf 28 1.189 -0.484 1.284 4
0048 pf 29 1.117 -0.662 1.299 4
0048 pf 30 1.498 -0.566 1.601 4
0048 pf 31 1.199 -0.475 1.290 4
0048 pf 32 1.271 -0.486 1.361 4
0048 pf 33 1.035 -0.480 1.141 4
0048 pf 34 1.198 -0.604 1.341 4
0048 pf 35 1.127 -0.567 1.261 4
0048 pf 36 1.040 -0.654 1.228 4
0048 pf 37 1.099 -0.810 1.365 4
0048 pf 38 1.210 -0.637 1.368 4
0048 pf 39 1.052 -0.595 1.209 4
0048 pf 40 1.449 -0.483 1.528 4
0048 pf 41 1.029 -0.418 1.111 4
0048 pf 42 1.402 -0.522 1.496 4
0048 pf 43 1.183 -0.484 1.278 4
0048 pf 44 1.243 -0.376 1.299 4
0048 pf 45 1.137 -0.439 1.219 4
0048 pf 46 1.238 -0.600 1.376 4
0048 pf 47 1.119 -0.302 1.160 4
0048 pf 48 1.183 -0.687 1.368 4
0048 pf 49 1.429 -0.472 1.505 4
0048 pf 50 1.132 -0.372 1.191 4
0072 em 00 1.470 -0.058 1.471 4
0072 cf 00 1.484 -0.007 1.484 4
0072 pf 01 1.028 -0.464 1.128 4
0072 pf 02 1.380 -0.016 1.380 4
0072 pf 03 1.473 0.018 1.473 5
0072 pf 04 1.135 -0.358 1.190 4
0072 pf 05 1.636 -0.052 1.637 4
0072 pf 06 1.440 0.031 1.441 5
0072 pf 07 1.250 0.296 1.285 5
0072 pf 08 1.599 0.219 1.614 5
0072 pf 09 0.925 -0.020 0.926 4
0072 pf 10 1.717 -0.447 1.774 4
0072 pf 11 1.400 -0.419 1.461 4
0072 pf 12 1.488 0.276 1.513 5
0072 pf 13 1.535 0.029 1.536 5
0072 pf 14 1.942 -0.537 2.015 4
0072 pf 15 1.135 -0.112 1.141 4
